date,state_name,stringency_index
20200325,Alabama,42.857142857142854
20200326,Alabama,42.857142857142854
20200327,Alabama,42.857142857142854
20200330,Alabama,47.61904761904763
20200401,Alabama,47.61904761904763
20200403,Alabama,47.61904761904763
20200406,Alabama,76.19047619047619
20200409,Alabama,76.19047619047619
20200410,Alabama,76.19047619047619
20200416,Alabama,76.19047619047619
20200417,Alabama,76.19047619047619
20200421,Alabama,76.19047619047619
20200422,Alabama,76.19047619047619
20200423,Alabama,76.19047619047619
20200424,Alabama,76.19047619047619
20200427,Alabama,76.19047619047619
20200429,Alabama,76.19047619047619
20200430,Alabama,50.47619047619048
20200505,Alabama,46.1904761904762
20200507,Alabama,46.1904761904762
20200325,Alaska,40.47619047619048
20200326,Alaska,47.61904761904763
20200327,Alaska,47.61904761904763
20200330,Alaska,85.71428571428571
20200401,Alaska,85.71428571428571
20200403,Alaska,85.71428571428571
20200406,Alaska,85.71428571428571
20200409,Alaska,85.71428571428571
20200410,Alaska,85.71428571428571
20200416,Alaska,85.71428571428571
20200417,Alaska,85.71428571428571
20200421,Alaska,85.71428571428571
20200422,Alaska,85.71428571428571
20200423,Alaska,85.71428571428571
20200424,Alaska,75.71428571428571
20200427,Alaska,56.666666666666664
20200429,Alaska,56.666666666666664
20200430,Alaska,56.666666666666664
20200505,Alaska,34.285714285714285
20200507,Alaska,34.285714285714285
20200325,Arizona,28.571428571428573
20200326,Arizona,28.571428571428573
20200327,Arizona,28.571428571428573
20200330,Arizona,57.142857142857146
20200401,Arizona,69.04761904761905
20200403,Arizona,69.04761904761905
20200406,Arizona,69.04761904761905
20200409,Arizona,76.19047619047619
20200410,Arizona,76.19047619047619
20200416,Arizona,76.19047619047619
20200417,Arizona,76.19047619047619
20200421,Arizona,76.19047619047619
20200422,Arizona,76.19047619047619
20200423,Arizona,76.19047619047619
20200424,Arizona,76.19047619047619
20200427,Arizona,76.19047619047619
20200429,Arizona,76.19047619047619
20200430,Arizona,76.19047619047619
20200505,Arizona,76.19047619047619
20200507,Arizona,76.19047619047619
20200325,Arkansas,28.571428571428573
20200326,Arkansas,28.571428571428573
20200327,Arkansas,40.47619047619048
20200330,Arkansas,40.47619047619048
20200401,Arkansas,40.47619047619048
20200403,Arkansas,40.47619047619048
20200406,Arkansas,40.47619047619048
20200409,Arkansas,40.47619047619048
20200410,Arkansas,40.47619047619048
20200416,Arkansas,40.47619047619048
20200417,Arkansas,40.47619047619048
20200421,Arkansas,40.47619047619048
20200422,Arkansas,40.47619047619048
20200423,Arkansas,40.47619047619048
20200424,Arkansas,40.47619047619048
20200427,Arkansas,40.47619047619048
20200429,Arkansas,40.47619047619048
20200430,Arkansas,40.47619047619048
20200505,Arkansas,40.47619047619048
20200507,Arkansas,40.47619047619048
20200325,California,57.142857142857146
20200326,California,71.42857142857143
20200327,California,71.42857142857143
20200330,California,71.42857142857143
20200401,California,71.42857142857143
20200403,California,71.42857142857143
20200406,California,71.42857142857143
20200409,California,71.42857142857143
20200410,California,71.42857142857143
20200416,California,71.42857142857143
20200417,California,71.42857142857143
20200421,California,71.42857142857143
20200422,California,64.28571428571429
20200423,California,64.28571428571429
20200424,California,64.28571428571429
20200427,California,64.28571428571429
20200429,California,64.28571428571429
20200430,California,64.28571428571429
20200505,California,64.28571428571429
20200507,California,64.28571428571429
20200325,Colorado,40.47619047619048
20200326,Colorado,40.47619047619048
20200327,Colorado,71.42857142857143
20200330,Colorado,71.42857142857143
20200401,Colorado,71.42857142857143
20200403,Colorado,71.42857142857143
20200406,Colorado,71.42857142857143
20200409,Colorado,71.42857142857143
20200410,Colorado,71.42857142857143
20200416,Colorado,71.42857142857143
20200417,Colorado,71.42857142857143
20200421,Colorado,71.42857142857143
20200422,Colorado,71.42857142857143
20200423,Colorado,71.42857142857143
20200424,Colorado,71.42857142857143
20200427,Colorado,50.47619047619048
20200429,Colorado,50.47619047619048
20200430,Colorado,50.47619047619048
20200505,Colorado,53.333333333333336
20200507,Colorado,53.333333333333336
20200325,Connecticut,52.38095238095237
20200326,Connecticut,52.38095238095237
20200327,Connecticut,54.76190476190476
20200330,Connecticut,54.76190476190476
20200401,Connecticut,54.76190476190476
20200403,Connecticut,69.04761904761905
20200406,Connecticut,69.04761904761905
20200409,Connecticut,69.04761904761905
20200410,Connecticut,69.04761904761905
20200416,Connecticut,69.04761904761905
20200417,Connecticut,69.04761904761905
20200421,Connecticut,69.04761904761905
20200422,Connecticut,69.04761904761905
20200423,Connecticut,69.04761904761905
20200424,Connecticut,69.04761904761905
20200427,Connecticut,69.04761904761905
20200429,Connecticut,69.04761904761905
20200430,Connecticut,69.04761904761905
20200505,Connecticut,69.04761904761905
20200507,Connecticut,69.04761904761905
20200325,Delaware,52.38095238095237
20200326,Delaware,66.66666666666666
20200327,Delaware,66.66666666666666
20200330,Delaware,80.95238095238096
20200401,Delaware,80.95238095238096
20200403,Delaware,90.47619047619048
20200406,Delaware,90.47619047619048
20200409,Delaware,90.47619047619048
20200410,Delaware,90.47619047619048
20200416,Delaware,90.47619047619048
20200417,Delaware,90.47619047619048
20200421,Delaware,90.47619047619048
20200422,Delaware,90.47619047619048
20200423,Delaware,90.47619047619048
20200424,Delaware,90.47619047619048
20200427,Delaware,90.47619047619048
20200429,Delaware,90.47619047619048
20200430,Delaware,90.47619047619048
20200505,Delaware,90.47619047619048
20200507,Delaware,90.47619047619048
20200325,District of Columbia,54.761904761904766
20200326,District of Columbia,54.761904761904766
20200327,District of Columbia,54.761904761904766
20200330,District of Columbia,69.04761904761905
